date,classification,daily_pnl,trade_count,avg_trade_size
2025-02-04,Greed,416876.88812,2512,6241.404964171974
2025-02-05,Neutral,56706.235562,1297,6741.1191287586735
2025-02-06,Neutral,33803.799733,1703,1655.0257604227834
2025-02-07,Fear,22450.002091,1524,2270.5141338582675
2025-02-08,Fear,586.703253,575,1460.4086434782607
2025-02-09,Neutral,150551.829492,764,3823.19332460733
2025-02-10,Fear,63908.49465,889,4077.5685489313837
2025-02-11,Neutral,-6093.784817,848,3298.990766509434
2025-02-12,Neutral,19848.635032,1031,4019.3739476236665
2025-02-13,Neutral,27829.534238,1370,2335.6585474452554
2025-02-14,Neutral,213860.675308,1655,2421.210525679758
2025-02-15,Neutral,45042.92701,932,1837.8250536480687
2025-02-16,Neutral,2369.478425,681,1183.8144493392072
2025-02-17,Neutral,1818.573295,941,2158.3896280552603
2025-02-18,Neutral,91204.672403,1676,2011.413293556086
2025-02-19,Fear,14985.794701,1361,2398.185334313005
2025-02-20,Neutral,46008.794102,2012,2300.5016351888667
2025-02-21,Greed,119693.49395,1873,2120.747399893219
2025-02-22,Neutral,25278.704178,686,4629.111078717201
2025-02-23,Neutral,10656.934251,520,2194.8283461538463
2025-02-24,Neutral,38470.176242,5616,1998.5077617521367
2025-02-25,Fear,204762.177034,6246,3108.3868651937237
2025-02-26,Extreme Fear,63229.063129,1176,4206.597049319727
2025-02-27,Extreme Fear,-36525.167517,890,2247.0768876404495
2025-02-28,Extreme Fear,225628.108748,1019,4046.7721000981355
2025-03-01,Extreme Fear,10596.108968,174,1516.230632183908
2025-03-02,Fear,66914.320708,532,12144.452518796992
2025-03-03,Fear,616413.032233,1482,5563.151403508772
2025-03-04,Extreme Fear,182075.566585,2402,4631.24360949209
2025-03-05,Extreme Fear,269328.365917,1660,5538.345915662651
2025-03-06,Fear,16101.125561,760,8901.743368421052
2025-03-07,Fear,150236.061627,2552,7779.888510971787
2025-03-08,Fear,24700.773359,529,1686.3582419659735
2025-03-09,Fear,19773.457395,1422,7327.495070323488
2025-03-10,Extreme Fear,-10010.027269999999,2911,5775.263029886637
2025-03-11,Extreme Fear,-76880.729036,3286,4265.657970176507
2025-03-12,Fear,288105.984215,3968,4692.071358366935
2025-03-13,Neutral,14114.870873,962,3415.375488565489
2025-03-14,Fear,68646.160089,2210,3641.261158371041
2025-03-15,Neutral,78694.624572,261,9025.86030651341
2025-03-16,Fear,-7910.943544999999,530,19222.49341509434
2025-03-17,Fear,26163.906513,920,3905.320706521739
2025-03-18,Fear,72322.788824,834,4856.901043165468
2025-03-19,Fear,29374.682341,1612,2852.8620161290323
2025-03-20,Neutral,10246.859436,771,2143.0063942931256
2025-03-21,Fear,6951.270374,698,3644.560730659026
2025-03-22,Fear,12498.535254,535,1816.4662056074767
2025-03-23,Fear,14047.421585,447,5802.057427293064
2025-03-24,Neutral,107878.961301,1027,2938.254186952288
2025-03-25,Neutral,32030.90678,791,6792.060391908975
2025-03-26,Neutral,15802.167427,3102,2449.30830754352
2025-03-27,Fear,58825.359221,785,4127.744535031847
2025-03-28,Fear,21337.179335,728,2037.2151236263737
2025-03-29,Fear,12098.872931,1894,1936.7221911298839
2025-03-30,Fear,15795.11514,568,5019.146056338028
2025-03-31,Fear,6978.184557,495,4373.277717171717
2025-04-01,Fear,-2202.6622420000003,192,3668.9853645833336
2025-04-02,Fear,202212.740938,1076,3594.7310408921935
